,Player,Faction,Faction Detachment,Primary,Secondary,Unique Faction List,Chapter,ChapterDetachment,Unique Chapter List,Specialist Name,Pure List?,Wins,Losses,Draws,Games,Avg VP,Avg Oppon VP,Win Percentage,Pure Win Percentage,Games by Primary,Games by Secondary,Games Mono,Primary Wins,Primary Loss,Primary Draw,Win % By Faction,VP by Faction,Opp VP by Faction,Win % By Primary,Win % by Chapter,VP by Primary,Top List,ITC 100,Tournament,Missions,Ruleset,Date
1428,oscar casasola,Renegade Knights,1,1.0,,1.0,Renegade Knights,1,1.0,,,3,3,0,6,23.666666666666668,22.0,0.5,,6.0,,,3.0,3.0,0.0,0.5,23.666666666666668,22.0,0.5,0.5,23.666666666666668,No,,LVO,ITC,Fall FAQ,2020-01-24
1429,oscar casasola,Death Guard,1,,1.0,1.0,Death Guard,1,1.0,,,3,3,0,6,23.666666666666668,22.0,0.5,,,6.0,,,,,0.5,23.666666666666668,22.0,,0.5,,No,,LVO,ITC,Fall FAQ,2020-01-24
1430,oscar casasola,Chaos Daemons,1,,1.0,1.0,Nurgle,1,1.0,,,3,3,0,6,23.666666666666668,22.0,0.5,,,6.0,,,,,0.5,23.666666666666668,22.0,,0.5,,No,,LVO,ITC,Fall FAQ,2020-01-24
1431,oseas aduna,Orks,1,1.0,,1.0,Deathskulls,1,1.0,Dread Waagh,Mono,2,4,0,6,21.833333333333332,25.333333333333332,0.3333333333333333,0.3333333333333333,6.0,,6.0,2.0,4.0,0.0,0.3333333333333333,21.833333333333332,25.333333333333332,0.3333333333333333,0.3333333333333333,21.833333333333332,No,,LVO,ITC,Fall FAQ,2020-01-24
1432,oseas aduna,Orks,1,,1.0,,Deathskulls,1,,,,2,4,0,6,21.833333333333332,25.333333333333332,0.3333333333333333,,,6.0,,,,,,,,,,,No,,LVO,ITC,Fall FAQ,2020-01-24
1433,oslind meloche,Adepta Sororitas,1,1.0,,1.0,Order of the Valorous Heart,1,1.0,,Mono,4,2,0,6,29.333333333333332,24.666666666666668,0.6666666666666666,0.6666666666666666,6.0,,6.0,4.0,2.0,0.0,0.6666666666666666,29.333333333333332,24.666666666666668,0.6666666666666666,0.6666666666666666,29.333333333333332,No,,LVO,ITC,Fall FAQ,2020-01-24
1434,oslind meloche,Adepta Sororitas,1,,1.0,,Order of the Bloody Rose,1,1.0,,,4,2,0,6,29.333333333333332,24.666666666666668,0.6666666666666666,,,6.0,,,,,,,,,0.6666666666666666,,No,,LVO,ITC,Fall FAQ,2020-01-24
1435,oslind meloche,Adepta Sororitas,1,,1.0,,Order of the Bloody Rose,1,,,,4,2,0,6,29.333333333333332,24.666666666666668,0.6666666666666666,,,6.0,,,,,,,,,,,No,,LVO,ITC,Fall FAQ,2020-01-24
1436,owen bissell,Blood Angels,1,1.0,,1.0,Blood Angels,1,1.0,,Mono,3,3,0,6,26.5,24.166666666666668,0.5,0.5,6.0,,6.0,3.0,3.0,0.0,0.5,26.5,24.166666666666668,0.5,0.5,26.5,No,,LVO,ITC,Fall FAQ,2020-01-24
1437,owen bissell,Blood Angels,1,,1.0,,Blood Angels,1,,,,3,3,0,6,26.5,24.166666666666668,0.5,,,6.0,,,,,,,,,,,No,,LVO,ITC,Fall FAQ,2020-01-24
